user,movie,rating
Nick,Heat ,3
Nick,Balto ,2
Nick,Friday ,NA
Nick,Clueless ,3.5
Nick,Mortal Kombat ,1.5
Nick,Atone ,NA
Nick,Tangerine ,3
Mike,Heat ,4
Mike,Balto ,NA
Mike,Friday ,4
Mike,Clueless ,3.5
Mike,Mortal Kombat ,3
Mike,Atone ,1
Mike,Tangerine ,4.5
Kerry,Heat ,5
Kerry,Balto ,4
Kerry,Friday ,NA
Kerry,Clueless ,3.5
Kerry,Mortal Kombat ,3
Kerry,Atone ,NA
Kerry,Tangerine ,3.5
Jason,Heat ,4.5
Jason,Balto ,NA
Jason,Friday ,3.5
Jason,Clueless ,3.5
Jason,Mortal Kombat ,2.5
Jason,Atone ,3.5
Jason,Tangerine ,3.5
Emma,Heat ,4
Emma,Balto ,3.5
Emma,Friday ,3
Emma,Clueless ,3.5
Emma,Mortal Kombat ,1.5
Emma,Atone ,0
Emma,Tangerine ,NA
Vish,Heat,5
Vish,Balto ,NA
Vish,Friday ,3
Vish,Clueless ,3.5
Vish,Mortal Kombat ,1.5
Vish,Atone ,2
Vish,Tangerine ,NA
Mathew,Heat ,5
Mathew,Balto ,4
Mathew,Friday ,NA
Mathew,Clueless ,3.5
Mathew,Mortal Kombat ,3
Mathew,Atone ,NA
Mathew,Tangerine ,3.5



